epoch,train_loss,valid_macro_f1,valid_macro_auc,valid_macro_auprc,best_epoch,elapsed_sec
1,0.6287579343236726,0.7120001078642751,0.6940900081798382,0.661201865231922,1,11.56962537765503
2,0.6139679209939365,0.7151773109979582,0.7020931756023722,0.6655602048038273,2,7.657066106796265
3,0.6057270128151466,0.7124194225652413,0.7154680583812275,0.672957384057513,2,7.609264373779297
4,0.5888469153437121,0.7290140357670095,0.7438870174783362,0.6969695165001442,4,7.618976831436157
5,0.5761360299998316,0.7305518821681769,0.7457676055413047,0.6970707381771947,5,7.563180923461914
6,0.5714177509834026,0.7361339124499444,0.7647754202480106,0.7124412562991156,6,7.581712484359741
7,0.5692192616133854,0.7369575564094857,0.7533609647559631,0.6927751151560162,7,7.635687351226807
8,0.5611252040698611,0.74686434409927,0.7707568845480962,0.719461247933306,8,7.62431788444519
9,0.5582920880153261,0.7487996616977297,0.7827781382837337,0.7310719273720109,9,7.688176393508911
10,0.551576293336934,0.7490434936621446,0.7608111445164291,0.7071529675802815,10,7.75222635269165
11,0.5517242836541143,0.7494803865208766,0.7812804873456755,0.7289393651420488,11,7.735909700393677
12,0.5519829571247101,0.7436934043221168,0.7727847468035894,0.7220420733047994,11,7.757810831069946
13,0.5482176460068802,0.7404735703340026,0.7716482388956388,0.7197602508067369,11,7.522489547729492
14,0.5436980405758167,0.7543834951940216,0.793212295669117,0.7458585589208454,14,7.587752103805542
15,0.5394038001011158,0.753055492801663,0.8015507812372306,0.7594090906773197,14,7.628934383392334
16,0.5352080731556333,0.7455129177896328,0.7946703927509193,0.757185508504685,14,7.629939079284668
17,0.5270641456390249,0.7561944772806477,0.8065029283197239,0.7729244586342633,17,7.6392552852630615
18,0.5209403878655927,0.7548250133245358,0.8096050226067026,0.7825129575334635,17,7.61904239654541
19,0.5182220187680474,0.7524725479424753,0.8023942998597408,0.7730634359237478,17,7.621194124221802
20,0.5175582589774296,0.7647104439476687,0.8224545002385615,0.7908214443191927,20,7.636663913726807
21,0.5146243272156551,0.7693597327284714,0.827775941213973,0.8004317146203934,21,7.545109748840332
22,0.5137818369372138,0.7608180032704807,0.8138043650156502,0.7882785480516179,21,7.626003980636597
23,0.5128542026569103,0.7703795658199214,0.8286791044413911,0.8009023947157553,23,7.6459691524505615
24,0.5104421518999954,0.7709915062487178,0.8269126566238858,0.7956760594598045,24,7.666717052459717
25,0.5106921189817889,0.769083246749202,0.8266444243756814,0.7979346294126515,24,7.6374123096466064
26,0.5044448669614463,0.7691962817449556,0.8281707749409428,0.8028658147798726,24,7.632092237472534
27,0.5023828179671846,0.7662525536708978,0.8176682078476135,0.7884876163083041,24,7.673157215118408
28,0.5017838938482877,0.7734868963055105,0.8363261611171614,0.8147939512251501,28,7.618983745574951
29,0.4986453360524671,0.7743892767531834,0.8341699006575471,0.8070511427869462,29,7.6360273361206055
30,0.49457847537665534,0.7756748105354644,0.838031936002689,0.814363101927891,30,7.662628173828125
31,0.4925092853348831,0.767116967170293,0.8308971155436182,0.8094964661565737,30,7.6402060985565186
32,0.493808847049187,0.7792563573769612,0.8432387079461738,0.818585738522969,32,7.668532133102417
33,0.48896093902916743,0.7793723208621129,0.836891391520673,0.8138115964292405,33,7.677769422531128
34,0.4907320209618272,0.7727329206326768,0.8371547735277816,0.817270480097337,33,7.642916917800903
35,0.4877254862209846,0.7761206090259949,0.8423566008177797,0.8219686553636123,33,7.636400938034058
36,0.49102936181528817,0.7664235391245489,0.8319124335562517,0.8106184784417343,33,7.562759637832642
37,0.48537625094939923,0.7869224781444057,0.8500670847039858,0.8280145200236303,37,7.655095338821411
38,0.4841547955726755,0.7726377174245979,0.8276160456770574,0.8026451131530015,37,7.649940729141235
39,0.48550074552667555,0.7906126338010437,0.8545959817927375,0.8345806001526634,39,7.669310808181763
40,0.48271202588903495,0.783311799008106,0.85012467573716,0.8290416047750189,39,7.650227069854736
41,0.48118352026774963,0.7762665782560274,0.8447744716352477,0.8238320599597888,39,7.640085458755493
42,0.4811067755880027,0.7859411930486404,0.8514940870360199,0.8288325873974023,39,7.640938758850098
43,0.4808542701704749,0.7804147078290502,0.8471150121998692,0.8272154003547145,39,7.654944658279419
44,0.47656724432419084,0.7877707081924289,0.856043747122426,0.8379452043670718,39,7.761050224304199
45,0.47906415976327044,0.7799379163330429,0.8402926293791306,0.8221598451754947,39,7.835626840591431
46,0.47681851962517047,0.7800057206016822,0.8453011022774873,0.8229218237930631,39,7.835641384124756
47,0.47460800943703485,0.7848467628668019,0.8531178831602846,0.833241891900421,39,7.847803354263306
48,0.47412608635836634,0.7883586391930799,0.8560349677351295,0.8356601667260302,39,7.656366586685181
49,0.4717179999269288,0.7896073342838053,0.8533557632130074,0.833330884533243,39,7.554129600524902
50,0.4725197740669908,0.7788621536583429,0.8446782391155019,0.8273857551149136,39,7.659912109375
51,0.47245603470966735,0.789574282477038,0.8590660366714756,0.8394008968982201,39,7.56938910484314
52,0.4712023422635835,0.7844188100002525,0.8494055184862679,0.8277045410724053,39,7.700269937515259
53,0.4719697697409268,0.7939217403619833,0.8619483150176197,0.8408388556170925,53,7.802454710006714
54,0.4686034496488242,0.7884421939864094,0.8527317807801058,0.8345459933428921,53,7.7750749588012695
55,0.46842545147599846,0.793727912877915,0.8596135127701583,0.8409605239284638,53,7.810163497924805
56,0.46763964583133827,0.7804545585776681,0.8485476650455943,0.827500539549359,53,7.677985191345215
57,0.4646014540359892,0.776698976551374,0.8423897162036109,0.8209491065869624,53,7.650555372238159
58,0.4667285553340254,0.7961065790779019,0.8604805206041359,0.8422294837160355,58,7.6350743770599365
59,0.46265814900398256,0.7921715665446553,0.8621385131100838,0.8446829784795067,58,7.61812949180603
60,0.46251254759985827,0.7620731926468427,0.829274015379791,0.8187838626716868,58,7.639965057373047
61,0.4660318761036314,0.7988348584043499,0.8675941684181702,0.8510636473344485,61,7.664781093597412
62,0.4642517581068236,0.796223440691293,0.8645772856007854,0.8471668494643257,61,7.579804420471191
63,0.46129738791235564,0.7956127482452908,0.8616416241895584,0.8439086472149008,61,7.513503551483154
64,0.4619274392210204,0.8003720094250728,0.8672854060192201,0.8486156861427581,64,7.541675567626953
65,0.45912364433551656,0.7937220385631747,0.8649224718881614,0.8480383550540924,64,7.514694690704346
66,0.45936600833103575,0.7821681517472325,0.8489725849381295,0.8303730589694791,64,7.439468860626221
67,0.4623187657060294,0.7985423942419789,0.8682020124921731,0.8501450764955308,64,7.609204292297363
68,0.4597245923404036,0.7751406041087083,0.843316883667702,0.8243166348254274,64,7.694364547729492
69,0.46146030179385483,0.7827298624477119,0.8499571678561144,0.8354428880237601,64,7.639354228973389
70,0.45559321354175436,0.795246108800842,0.8633866265510418,0.8425937882228622,64,7.63947319984436
71,0.456414395570755,0.7885952208942381,0.8564871065338584,0.8356087721458316,64,7.637982130050659
72,0.45727820190890084,0.8077369324716207,0.8718966407025025,0.8531790179619614,72,7.664244651794434
73,0.45631701802385266,0.7982276721141996,0.866975296622243,0.847134119301195,72,7.664905071258545
74,0.4570537408878063,0.7911612161289773,0.8611329942624989,0.8439994370323436,72,7.577876806259155
75,0.45432232351138674,0.8068799834913409,0.8745868238567234,0.8584672874120146,72,7.700619220733643
76,0.45497658499355975,0.7617720747537458,0.8245485350749192,0.8043973200081063,72,7.65566349029541
77,0.4540359760152883,0.8033313083361527,0.8737600670775242,0.8556575412882493,72,7.646909475326538
78,0.45298301680334685,0.7934621487648117,0.8661789315831303,0.8512794634692387,72,7.726652145385742
79,0.4500440494767551,0.8091090654640285,0.877519713765774,0.8594696288356927,79,7.86652135848999
80,0.44876440249640365,0.7985900446830083,0.8626840897709936,0.8408955537064566,79,7.7972447872161865
81,0.44767122926383185,0.8052757529854515,0.8756695934958655,0.8580038867720845,79,7.810820817947388
82,0.4467549500794246,0.7965419454802827,0.8688965049382971,0.8507309108462782,79,7.725294828414917
83,0.44897726445362485,0.8039442717456275,0.8747021813506841,0.8560471412465759,79,7.669149875640869
