tissue,model,feature_radius,best_C,best_gamma,train_size,valid_size,test_size,valid_acc,valid_auc,valid_f1,valid_precision,valid_recall,valid_specificity,valid_threshold,test_acc,test_auc,test_f1,test_precision,test_recall,test_specificity,test_threshold
Artery,triplet_linear_svm,25,0.1,scale,15294,3876,4792,0.7084623323013416,0.7921568888610668,0.7585470085470085,0.6373429084380611,0.9366754617414248,0.4901564866229177,0.42500000000000004,0.7099332220367279,0.7948206299229145,0.7768860353130016,0.6612021857923497,0.9416342412451362,0.44194419441944194,0.42500000000000004
Artery,triplet_logreg,25,0.1,scale,15294,3876,4792,0.7156862745098039,0.7920551306008666,0.7584392810170978,0.6486689163854518,0.9129287598944591,0.5270065623422514,0.35,0.7143155258764607,0.7943257555327518,0.7756840897919056,0.6699688649872629,0.9210116731517509,0.4752475247524752,0.35
Liver,triplet_linear_svm,25,1.0,scale,12485,3024,4150,0.7046957671957672,0.7875087955672104,0.7196232339089482,0.6342003320420586,0.8316400580551524,0.5984204131227218,0.475,0.7313253012048193,0.7844049313545913,0.7849566055930569,0.7168016907361747,0.8674339300937767,0.5543237250554324,0.475
Liver,triplet_logreg,25,0.1,scale,12485,3024,4150,0.7040343915343915,0.7880982528785092,0.7203998750390503,0.6324739440482721,0.8367198838896952,0.5929526123936817,0.42500000000000004,0.7301204819277108,0.7840516858435267,0.7850287907869482,0.714036312849162,0.8716965046888321,0.5460088691796009,0.42500000000000004
Liver,triplet_rbf_svm,25,0.1,scale,12485,3024,4150,0.6868386243386243,0.7822173470629419,0.7205665388020065,0.6071606166086524,0.886066763425254,0.520048602673147,0.30000000000000004,0.7296385542168675,0.7866779894257906,0.7927595123753233,0.6994784876140808,0.9147485080988917,0.48891352549889133,0.30000000000000004
