epoch,train_loss,selection_split,selection_acc,selection_auc,selection_auprc,selection_f1,selection_precision,selection_recall,selection_specificity,selection_threshold,best_so_far,best_epoch_so_far,elapsed_sec
1,0.619248523827522,valid,0.6484333510355815,0.7095200262404344,0.666684153836871,0.7313311688311688,0.5925682341335087,0.954954954954955,0.34060670569451834,0.275,1,1,2.875577449798584
2,0.5993255155701791,valid,0.6561338289962825,0.7135040371743249,0.6675539954671648,0.7320504862404303,0.6004752206381534,0.9374668786433492,0.37360298030867484,0.30000000000000004,1,2,3.4190587997436523
3,0.601383795661311,valid,0.6537440254912373,0.7119497483270454,0.6673938454171604,0.7283333333333334,0.6000686577411604,0.926338102808691,0.37998935604044703,0.325,0,2,2.1483848094940186
4,0.5944941236126807,valid,0.6579925650557621,0.7095315896305159,0.6643273328702285,0.734651833539349,0.6009437141894169,0.9448860625331214,0.369877594465141,0.275,1,4,2.164156913757324
5,0.5903225983342817,valid,0.6561338289962825,0.7209858325908791,0.6745438359792734,0.7381193124368048,0.5967952910398954,0.9671436142024378,0.34379989356040447,0.275,1,5,2.1751487255096436
6,0.5847988859299691,valid,0.6574614976101965,0.7141025131195121,0.6553161884473183,0.7359803520261973,0.5995331777259086,0.9528351881293058,0.3608302288451304,0.25,0,5,2.164425849914551
7,0.5801444284377559,valid,0.6571959638874137,0.7115695666238822,0.6672871414383199,0.7292933529041727,0.6034004163775156,0.9215686274509803,0.3916977115486961,0.45000000000000007,0,5,2.159636974334717
8,0.5826579702477301,valid,0.6635687732342007,0.7272881622191331,0.6789906951723383,0.7390319258496395,0.6044474393530997,0.9507154213036566,0.3751995742416179,0.275,1,8,2.1865832805633545
9,0.5710546532946248,valid,0.6664896441848115,0.7421493747449356,0.6839704953795401,0.7418824496506371,0.6059080228264518,0.9565447800741919,0.3751995742416179,0.325,1,9,2.178922653198242
10,0.5646652733125994,valid,0.6725969198088158,0.7346464267855497,0.6727278161053496,0.7427498435218026,0.6125258086717137,0.9432962374138845,0.4007450771687068,0.45000000000000007,1,10,2.225553274154663
