tissue,<1,1-5,5-10,10-15,>=15,intermediate,n
Artery,0.4694145642880985,0.20795512054354964,0.09008194161794317,0.05068320573699002,0.1818651678134186,0.3487202678984828,92871
Brain,0.5139177954123029,0.20459882692072254,0.08519849970506072,0.04599939899164153,0.15028547897027233,0.3357967256174248,89849
Liver,0.538019306399714,0.19656775116195924,0.0811869860564891,0.043432248838040755,0.14079370754379691,0.3211869860564891,69925
MuscleSkeletal,0.7020646329603506,0.1769413921461228,0.05565678131881644,0.0239886428419723,0.0413485507327379,0.25658681630691155,89459
Combined,0.5454901293396869,0.21369128658951667,0.08248808713410484,0.04385636487406399,0.11447413206262763,0.3400357385976855,117520
