tissue,total_sites,positive_sites,negative_sites,any_coordinate_variant_sites,any_coordinate_variant_pct,any_coordinate_carrier_sites,any_coordinate_carrier_pct,direct_ag_overlap_sites,direct_ag_overlap_pct,direct_ag_carrier_sites,direct_ag_carrier_pct,transcript_equivalent_overlap_sites,transcript_equivalent_overlap_pct,transcript_equivalent_carrier_sites,transcript_equivalent_carrier_pct,transcript_equivalent_carrier_sites_af_ge_0_001,transcript_equivalent_carrier_sites_af_ge_0_01,transcript_equivalent_carrier_sites_af_ge_0_05
Artery,60485,16890,43595,873,0.014433330577829214,873,0.014433330577829214,86,0.0014218401256509878,86,0.0014218401256509878,82,0.0013557080267835,82,0.0013557080267835,49,21,15
Brain,59678,13503,46175,892,0.014946881597908777,892,0.014946881597908777,88,0.0014745802473273234,88,0.0014745802473273234,86,0.001441067059888066,86,0.001441067059888066,49,19,14
Combined,77559,13453,64106,1167,0.01504660967779368,1167,0.01504660967779368,113,0.0014569553501205534,113,0.0014569553501205534,100,0.0012893410178057994,100,0.0012893410178057994,63,28,23
Liver,47466,9845,37621,705,0.014852736695740108,705,0.014852736695740108,62,0.001306198120760123,62,0.001306198120760123,62,0.001306198120760123,62,0.001306198120760123,37,17,14
MuscleSkeletal,66505,3699,62806,1027,0.015442447936245395,1027,0.015442447936245395,117,0.0017592662205849184,117,0.0017592662205849184,102,0.0015337192692278776,102,0.0015337192692278776,65,30,22
