label_class	total_sites	any_coordinate_variant_sites	any_coordinate_variant_pct	any_coordinate_carrier_sites	any_coordinate_carrier_pct	direct_ag_variant_sites	direct_ag_variant_pct	direct_ag_carrier_sites	direct_ag_carrier_pct	transcript_equivalent_variant_sites	transcript_equivalent_variant_pct	transcript_equivalent_carrier_sites	transcript_equivalent_carrier_pct	transcript_equivalent_carrier_sites_af_ge_0_001	transcript_equivalent_carrier_sites_af_ge_0_01	transcript_equivalent_carrier_sites_af_ge_0_05
positive_any_tissue	22249	305	0.01370848128005753	305	0.01370848128005753	30	0.0013483752078745112	30	0.0013483752078745112	39	0.0017528877702368646	39	0.0017528877702368646	22	7	4
negative_only	78128	1215	0.015551402826131476	1215	0.015551402826131476	137	0.001753532664345689	137	0.001753532664345689	113	0.0014463444603727217	113	0.0014463444603727217	72	34	26
