train\eval,Artery,Brain,Combined,Liver,MuscleSkeletal,Octopus,Ptychodera,Strongylocentrotus
Artery,0.8670779585,0.8714452668,0.8572984749,0.8644136808,0.8328479907,0.8021563342,0.7618522602,0.7353509337
Brain,0.8621880998,0.8689078974,0.863000932,0.8635328225,0.8452380952,0.7875920084,0.7713651498,0.7007772021
Combined,0.8534684334,0.8585961343,0.8673970533,0.8653319283,0.8547317661,0.7778981582,0.7722772277,0.7355473555
Liver,0.8318687756,0.8372564935,0.8518588413,0.8541014402,0.8247914184,0.7517730496,0.7273689783,0.6658610272
MuscleSkeletal,0.7877793726,0.8114668341,0.8201917433,0.8205914567,0.8139390168,0.6045548654,0.5095347063,0.4995507637
Octopus,0.7737571863,0.7772039181,0.7595230209,0.7849042573,0.7495926127,0.808839779,0.778470255,0.7532307692
Ptychodera,0.7539524175,0.7515718201,0.7362406015,0.7689948893,0.7358490566,0.7964250248,0.7914716589,0.7151095732
Strongylocentrotus,0.7623730964,0.7549492597,0.745269742,0.7804101839,0.7414684592,0.8135064935,0.7675317504,0.7967781908
