train\eval,Artery,Brain,Combined,Liver,MuscleSkeletal,Octopus,Ptychodera,Strongylocentrotus
Artery,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Brain,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
Combined,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475
Liver,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525
MuscleSkeletal,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Octopus,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Ptychodera,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475
Strongylocentrotus,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
