train\eval,Artery,Brain,Combined,Liver,MuscleSkeletal,Octopus,Ptychodera,Strongylocentrotus
Artery,0.8584870154,0.8636982306,0.8488757833,0.8561503882,0.8320655354,0.8180420297,0.7620596206,0.7521764364
Brain,0.8610289769,0.8633034988,0.8570339306,0.8558577854,0.8421052632,0.7802916038,0.7498655191,0.7346690953
Combined,0.8268268268,0.8370262994,0.8357337485,0.8372395833,0.8347826087,0.7808564232,0.7169214549,0.718931475
Liver,0.8298673005,0.8428424305,0.8467542357,0.8543441227,0.8429447853,0.7727493917,0.7280291212,0.7056101793
MuscleSkeletal,0.7978810106,0.8021208908,0.8214918323,0.8093674765,0.8161209068,0.7624541164,0.7089041096,0.6951066499
Octopus,0.7603536529,0.7546311342,0.7423434405,0.7758679959,0.741902834,0.83138054,0.7574284171,0.7498555748
Ptychodera,0.7348348348,0.7337110482,0.7220163084,0.7470519847,0.7314678449,0.798136646,0.7562568009,0.7207317073
Strongylocentrotus,0.7277313574,0.7216630919,0.71372794,0.7480592802,0.7194244604,0.7984644914,0.7696597881,0.7337209302
