train\eval,Artery,Brain,Combined,Liver,MuscleSkeletal,Octopus,Ptychodera,Strongylocentrotus
Artery,0.9261723789,0.926966629,0.9244003329,0.9253057877,0.9070175361,0.8440370244,0.7768447959,0.7558649812
Brain,0.9301592655,0.9286244602,0.933633651,0.9283391709,0.9109849963,0.8100778079,0.7907282851,0.7298345059
Combined,0.920847134,0.9255166133,0.9356244159,0.9317681919,0.9139286598,0.8233337737,0.7988386954,0.6730624468
Liver,0.9091274125,0.9088442339,0.9257284194,0.9241796888,0.9035613855,0.761300433,0.7375112705,0.6650725164
MuscleSkeletal,0.8775726815,0.8844641234,0.8882725911,0.8939288123,0.8756599386,0.7876512416,0.7148192313,0.6633214736
Octopus,0.7884339739,0.773896369,0.7606576998,0.7956152221,0.7148878316,0.884638532,0.8497994688,0.6867095532
Ptychodera,0.7039797636,0.7018251826,0.6990052755,0.7354017599,0.6523454258,0.8552347264,0.8308778209,0.6471218748
Strongylocentrotus,0.738367901,0.7366278214,0.7138853737,0.7730603162,0.6854346514,0.8556034833,0.8507387281,0.8309397674
