train\eval,Artery,Brain,Combined,Liver,MuscleSkeletal,Octopus,Ptychodera,Strongylocentrotus
Artery,0.8875486381,0.9185277089,0.9070500197,0.8930093777,0.9294117647,0.8589881593,0.8034285714,0.8950276243
Brain,0.8498054475,0.8775847808,0.885387948,0.8516624041,0.8993464052,0.8353067815,0.7965714286,0.8356353591
Combined,0.8035019455,0.8358147229,0.8456085073,0.8222506394,0.8784313725,0.8342303552,0.7771428571,0.8549723757
Liver,0.8151750973,0.8461538462,0.8759354076,0.8550724638,0.8980392157,0.8546824543,0.8,0.8425414365
MuscleSkeletal,0.7618677043,0.7820512821,0.8219771564,0.7881500426,0.8470588235,0.7825618945,0.7097142857,0.7651933702
Octopus,0.9536964981,0.9602977667,0.9594328476,0.9620630861,0.9581699346,0.8783638321,0.8011428571,0.8964088398
Ptychodera,0.9521400778,0.9640198511,0.9590389917,0.9586530264,0.9738562092,0.8299246502,0.7942857143,0.8162983425
Strongylocentrotus,0.8980544747,0.9044665012,0.8999606144,0.9036658142,0.9150326797,0.8955866523,0.7885714286,0.8715469613
