train\eval,Artery,Brain,Combined,Liver,MuscleSkeletal,Octopus,Ptychodera,Strongylocentrotus
Artery,0.9228480723,0.9274107943,0.9230221665,0.9293868295,0.9193662563,0.8622347527,0.7772674246,0.77682751
Brain,0.9355371568,0.9305337214,0.9348198778,0.9286923929,0.917889516,0.8354969276,0.780812212,0.7470650458
Combined,0.9101043461,0.9124728664,0.909711099,0.9148819897,0.9098576134,0.806690402,0.6684297138,0.6868743333
Liver,0.9138687309,0.9214624812,0.9238197426,0.9269219665,0.919266145,0.8025675462,0.7357212535,0.726597545
MuscleSkeletal,0.8909565329,0.8859655095,0.8897324818,0.8971309583,0.8954313582,0.8130874167,0.7205175788,0.6969176736
Octopus,0.7966564378,0.8044449771,0.794516095,0.8127416372,0.7790333502,0.8845022381,0.7784362929,0.7750665711
Ptychodera,0.7709163689,0.7705152111,0.7824122242,0.7884201942,0.7556271378,0.8367338982,0.820384889,0.7111852466
Strongylocentrotus,0.730683397,0.7277280043,0.7059776472,0.7483016496,0.6453501866,0.8277891897,0.8424435501,0.7718168815
